,u,v,j,i,X,Y,Z
81,417.19907,694.27313,-8,4,-4.0,2.0,2
82,486.6613,696.164,-8,6,-4.0,3.0,2
83,559.7494,700.4985,-8,8,-4.0,4.0,2
84,218.63803,759.8784,-10,-2,-5.0,-1.0,2
85,283.99808,760.16046,-10,0,-5.0,0.0,2
86,153.43523,761.0052,-10,-4,-5.0,-2.0,2
87,350.8758,762.04364,-10,2,-5.0,1.0,2
88,418.90732,764.33136,-10,4,-5.0,2.0,2
89,490.01,767.9507,-10,6,-5.0,3.0,2
91,218.91873,832.0463,-12,-2,-6.0,-1.0,2
92,285.12894,832.2324,-12,0,-6.0,0.0,2
93,352.9943,834.1156,-12,2,-6.0,1.0,2
94,422.88657,837.8689,-12,4,-6.0,2.0,2
95,495.15186,842.44214,-12,6,-6.0,3.0,2
6,435.36536,162.0634,8,4,4.0,2.0,3
7,370.1391,164.1572,8,2,4.0,1.0,3
8,305.90106,166.08197,8,0,4.0,0.0,3
13,500.06302,225.12865,6,6,3.0,3.0,3
14,432.27768,226.23653,6,4,3.0,2.0,3
15,366.94888,228.17197,6,2,3.0,1.0,3
16,302.3616,230.15222,6,0,3.0,0.0,3
17,239.47404,232.25432,6,-2,3.0,-1.0,3
18,177.08261,233.98853,6,-4,3.0,-2.0,3
19,497.3216,290.32687,4,6,2.0,3.0,3
20,567.0699,289.53943,4,8,2.0,4.0,3
22,429.98306,291.23874,4,4,2.0,2.0,3
24,364.16705,292.8453,4,2,2.0,1.0,3
25,299.38373,294.2616,4,0,2.0,0.0,3
26,236.39322,296.2905,4,-2,2.0,-1.0,3
27,175.15404,298.47375,4,-4,2.0,-2.0,3
28,111.50154,299.38858,4,-6,2.0,-3.0,3
29,428.0618,357.0273,2,4,1.0,2.0,3
30,496.05573,356.71164,2,6,1.0,3.0,3
31,566.0544,356.82645,2,8,1.0,4.0,3
33,361.99316,358.04706,2,2,1.0,1.0,3
34,297.21805,359.29288,2,0,1.0,0.0,3
36,234.1963,361.04803,2,-2,1.0,-1.0,3
37,173.03296,363.10095,2,-4,1.0,-2.0,3
38,110.493126,364.39557,2,-6,1.0,-3.0,3
39,360.00974,424.10574,0,2,0.0,1.0,3
40,426.79092,423.82544,0,4,0.0,2.0,3
41,495.14392,423.7342,0,6,0.0,3.0,3
42,565.1866,424.10623,0,8,0.0,4.0,3
43,295.29596,425.09946,0,0,0.0,0.0,3
45,232.21121,426.25128,0,-2,0.0,-1.0,3
46,170.89362,427.9102,0,-4,0.0,-2.0,3
48,108.61592,429.35077,0,-6,0.0,-3.0,3
49,359.046,491.18896,-2,2,-1.0,1.0,3
50,425.93112,491.2624,-2,4,-1.0,2.0,3
51,230.44489,492.14465,-2,-2,-1.0,-1.0,3
52,294.10446,491.86377,-2,0,-1.0,0.0,3
53,495.0118,491.9808,-2,6,-1.0,3.0,3
54,168.36154,493.22604,-2,-4,-1.0,-2.0,3
55,565.9587,493.19867,-2,8,-1.0,4.0,3
56,107.1992,494.85123,-2,-6,-1.0,-3.0,3
59,230.12987,559.0836,-4,-2,-2.0,-1.0,3
60,293.9211,559.04736,-4,0,-2.0,0.0,3
61,358.96692,559.07434,-4,2,-2.0,1.0,3
62,167.94643,559.78046,-4,-4,-2.0,-2.0,3
63,425.95468,559.87805,-4,4,-2.0,2.0,3
64,105.17426,560.943,-4,-6,-2.0,-3.0,3
65,495.85455,561.3043,-4,6,-2.0,3.0,3
66,567.14044,562.9423,-4,8,-2.0,4.0,3
69,166.99907,626.89014,-6,-4,-3.0,-2.0,3
70,230.00858,626.8743,-6,-2,-3.0,-1.0,3
71,294.04257,626.8738,-6,0,-3.0,0.0,3
72,103.33995,628.0674,-6,-6,-3.0,-3.0,3
73,359.83572,627.9572,-6,2,-3.0,1.0,3
74,426.99643,628.7589,-6,4,-3.0,2.0,3
75,497.1261,631.0032,-6,6,-3.0,3.0,3
76,569.9914,633.55237,-6,8,-3.0,4.0,3
78,230.41321,695.1142,-8,-2,-4.0,-1.0,3
79,166.2375,695.5814,-8,-4,-4.0,-2.0,3
80,295.04852,695.84985,-8,0,-4.0,0.0,3
81,101.64195,696.8119,-8,-6,-4.0,-3.0,3
82,361.1317,697.0909,-8,2,-4.0,1.0,3
83,430.289,700.1482,-8,4,-4.0,2.0,3
84,500.05923,702.1814,-8,6,-4.0,3.0,3
86,165.52174,766.1213,-10,-4,-5.0,-2.0,3
87,230.84445,765.7049,-10,-2,-5.0,-1.0,3
88,296.80774,766.7186,-10,0,-5.0,0.0,3
89,363.81287,768.0688,-10,2,-5.0,1.0,3
90,432.79794,771.06396,-10,4,-5.0,2.0,3
91,504.21176,774.40045,-10,6,-5.0,3.0,3
93,231.27997,838.059,-12,-2,-6.0,-1.0,3
94,298.10397,839.0492,-12,0,-6.0,0.0,3
95,366.81732,841.6747,-12,2,-6.0,1.0,3
96,436.95428,845.1204,-12,4,-6.0,2.0,3
97,510.04373,850.3143,-12,6,-6.0,3.0,3
6,446.19458,165.84373,8,4,4.0,2.0,4
7,380.23166,167.4135,8,2,4.0,1.0,4
