,X,Y,Z,u,v
52,-5.0,4.615384615384617,-5.0,-0.49613610281326137,-0.30412212683815243
53,-5.0,5.0,-5.0,-0.5149498424048382,-0.36254917055686836
54,-5.0,-5.0,-5.0,0.033433900608924566,1.3404849748739063
55,-5.0,-5.0,-4.615384615384615,0.08974828374400325,1.308398557795249
56,-5.0,-5.0,-4.230769230769231,0.14670485247063797,1.2759462406820807
57,-5.0,-5.0,-3.846153846153846,0.20431465460361625,1.243121728787423
58,-5.0,-5.0,-3.4615384615384617,0.2625889928335085,1.2099185821429495
59,-5.0,-5.0,-3.0769230769230766,0.32153943211936464,1.1763302113468248
60,-5.0,-5.0,-2.692307692307692,0.3811778073402214,1.142349873204083
61,-5.0,-5.0,-2.3076923076923075,0.4415162312160574,1.1079706662134816
62,-5.0,-5.0,-1.923076923076923,0.5025671025093263,1.0731855258944882
63,-5.0,-5.0,-1.5384615384615383,0.5643431145187368,1.0379872199477538
64,-5.0,-5.0,-1.1538461538461537,0.6268572638774972,1.0023683432421113
65,-5.0,-5.0,-0.7692307692307692,0.6901228596688379,0.966321312620795
66,-5.0,-5.0,-0.38461538461538414,0.7541535328722375,0.9298383615192367
67,-5.0,-5.0,0.0,0.818963246154435,0.8929115343864102
68,-5.0,-5.0,0.384615384615385,0.8845663040200058,0.8555326809013081
69,-5.0,-5.0,0.7692307692307692,0.9509773633369908,0.8176934499757206
70,-5.0,-5.0,1.1538461538461542,1.0182114442538583,0.7793852835340459
71,-5.0,-5.0,1.5384615384615392,1.0862839415248706,0.7405994100604019
72,-5.0,-5.0,1.9230769230769234,1.1552106362617929,0.7013268379028179
73,-5.0,-5.0,2.3076923076923084,1.2250077081307946,0.6615583483237713
74,-5.0,-5.0,2.6923076923076925,1.2956917480143295,0.6212844882857869
75,-5.0,-5.0,3.0769230769230766,1.367279771158828,0.5804955629602401
76,-5.0,-5.0,3.4615384615384617,1.4397892308300653,0.539181627946892
77,-5.0,-5.0,3.8461538461538467,1.5132380324992436,0.4973324811910458
78,-5.0,-5.0,4.230769230769232,1.5876445485839952,0.45493765458451885
79,-5.0,-5.0,4.615384615384617,1.6630276337698051,0.4119864052359095
80,-5.0,-5.0,5.0,1.7394066409386897,0.36846770639486637
81,-5.0,5.0,5.0,0.8895989246910022,-1.4644735852599093
82,-4.615384615384615,5.0,5.0,0.8452705783675399,-1.4898079720027033
83,-4.230769230769231,5.0,5.0,0.800161162716082,-1.5155887528492606
84,-3.846153846153846,5.0,5.0,0.754249850483104,-1.5418278309211582
85,-3.4615384615384617,5.0,5.0,0.7075150672947098,-1.5685375363316831
86,-3.0769230769230766,5.0,5.0,0.6599344578523634,-1.5957306455055351
87,-2.692307692307692,5.0,5.0,0.6114848502764497,-1.6234204015570743
88,-2.3076923076923075,5.0,5.0,0.5621422184781739,-1.6516205357954041
89,-1.923076923076923,5.0,5.0,0.5118816424314209,-1.6803452904296663
90,-1.5384615384615383,5.0,5.0,0.4606772662065527,-1.7096094425534223
91,-1.1538461538461537,5.0,5.0,0.40850225361765746,-1.7394283294929875
92,-0.7692307692307692,5.0,5.0,0.3553287413233939,-1.769817875611079
93,-0.38461538461538414,5.0,5.0,0.30112778920922373,-1.8007946206641934
94,0.0,5.0,5.0,0.2458693278653832,-1.8323757498198197
95,0.384615384615385,5.0,5.0,0.18952210296031075,-1.8645791254479498
96,0.7692307692307692,5.0,5.0,0.13205361629331341,-1.8974233208104598
97,1.1538461538461542,5.0,5.0,0.07343006329286038,-1.9309276557818749
98,1.5384615384615392,5.0,5.0,0.013616266707932156,-1.9651122347458627
99,1.9230769230769234,5.0,5.0,-0.04742439378087904,-1.9999979868236617
100,2.3076923076923084,5.0,5.0,-0.10973005632647097,-2.0356067086035803
101,2.6923076923076925,5.0,5.0,-0.17334045637728165,-2.0719611095548776
102,3.0769230769230766,5.0,5.0,-0.23829701118418642,-2.109084860324858
103,3.4615384615384617,5.0,5.0,-0.3046429097299,-2.147002644135026
104,3.8461538461538467,5.0,5.0,-0.37242320849120897,-2.185740211510786
105,4.230769230769232,5.0,5.0,-0.4416849334802272,-2.2253244385997193
106,4.615384615384617,5.0,5.0,-0.5124771890503069,-2.265783389355973
107,5.0,5.0,5.0,-0.5848512739956456,-2.3071463818931104
108,5.0,-5.0,5.0,0.2675967277320204,-0.003488508381820343
109,5.0,-4.615384615384615,5.0,0.22858636490568826,-0.10891022242335602
110,5.0,-4.230769230769231,5.0,0.19016396896359553,-0.21274301310593324
111,5.0,-3.846153846153846,5.0,0.15231634651532422,-0.3150225342848652
112,5.0,-3.4615384615384617,5.0,0.1150306959686313,-0.4157833810189747
113,5.0,-3.0769230769230766,5.0,0.07829459309281094,-0.5150591285842092
114,5.0,-2.692307692307692,5.0,0.04209597721572509,-0.6128823697748201
115,5.0,-2.3076923076923075,5.0,0.006423138022288982,-0.7092847505791745
116,5.0,-1.923076923076923,5.0,-0.02873529707594354,-0.8042970043122228
117,5.0,-1.5384615384615383,5.0,-0.06339037502871228,-0.8979489842819616
118,5.0,-1.1538461538461537,5.0,-0.09755282871949117,-0.9902696950628281
119,5.0,-0.7692307692307692,5.0,-0.13123308804790276,-1.0812873224448494
120,5.0,-0.38461538461538414,5.0,-0.1644412905461437,-1.1710292621234997
121,5.0,0.0,5.0,-0.19718729155212392,-1.2595221471916198
122,5.0,0.384615384615385,5.0,-0.2294806739607631,-1.3467918744913492
123,5.0,0.7692307692307692,5.0,-0.26133075757371127,-1.4328636298808368
124,5.0,1.1538461538461542,5.0,-0.2927466080666582,-1.5177619124675217
125,5.0,1.5384615384615392,5.0,-0.32373704559235267,-1.6015105578569606
126,5.0,1.9230769230769234,5.0,-0.3543106530364844,-1.6841327604635405
127,5.0,2.3076923076923084,5.0,-0.38447578394265863,-1.765651094926957
128,5.0,2.6923076923076925,5.0,-0.4142405701218352,-1.8460875366759817
129,5.0,3.0769230769230766,5.0,-0.4436129289607931,-1.925463481678879
130,5.0,3.4615384615384617,5.0,-0.472600570443418,-2.0037997654177486
131,5.0,3.8461538461538467,5.0,-0.5012110038978902,-2.0811166811221526
132,5.0,4.230769230769232,5.0,-0.5294515444821787,-2.157433997295527
