x,y,z,Xcam0,Ycam0,Xcam1,Ycam1,Xcam2,Ycam2,Xcam3,Ycam3
-4,4,-8,474.1588064,946.3043569,646.4295808,976.5207931,462.0291726,816.8627305,659.4771338,785.7832253
-4,8,-8,480.2813836,1028.66388,639.8440773,1058.439642,456.0213917,897.6780379,665.9399523,866.1759612
-4,12,-8,486.4429583,1111.547987,633.2169015,1140.876862,450.0511597,977.988248,672.3626368,946.0694601
-4,16,-8,492.6439042,1194.961707,626.5476568,1223.837389,444.1181254,1057.798082,678.74556,1025.468358
-4,20,-8,498.8845999,1278.910132,619.8359413,1307.326223,438.2219424,1137.1122,685.0890901,1104.377233
-4,24,-8,505.1654287,1363.39842,613.081348,1391.348425,432.3622684,1215.935208,691.3935905,1182.800609
-4,28,-8,511.4867792,1448.431795,606.2834646,1475.909124,426.5387653,1294.271653,697.6594204,1260.742952
-4,32,-8,517.8490447,1534.01555,599.4418737,1561.013512,420.7510992,1372.126026,703.8869346,1338.208674
0,-32,-8,498.6768905,244.8883137,781.3211095,244.8883137,599.4733037,52.44254905,680.5246963,52.44254905
0,-28,-8,504.6859349,322.5479094,775.3120651,322.5479094,592.8697101,137.7859699,687.1282899,137.7859699
0,-24,-8,510.7320686,400.68684,769.2659314,400.68684,586.3084431,222.5823714,693.6895569,222.5823714
0,-20,-8,516.8156362,479.309557,763.1823638,479.309557,579.7890971,306.836996,700.2089029,306.836996
0,-16,-8,522.9369863,558.4205673,757.0610137,558.4205673,573.3112714,390.5550194,706.6867286,390.5550194
0,-12,-8,529.096472,638.0244339,750.901528,638.0244339,566.8745709,473.7415516,713.1234291,473.7415516
0,-8,-8,535.2944507,718.125777,744.7035493,718.125777,560.4786049,556.4016378,719.5193951,556.4016378
0,-4,-8,541.5312846,798.7292745,738.4667154,798.7292745,554.1229882,638.5402598,725.8750118,638.5402598
0,0,-8,547.80734,879.8396634,732.19066,879.8396634,547.80734,720.1623366,732.19066,720.1623366
0,4,-8,554.1229882,961.4617402,725.8750118,961.4617402,541.5312846,801.2727255,738.4667154,801.2727255
0,8,-8,560.4786049,1043.600362,719.5193951,1043.600362,535.2944507,881.876223,744.7035493,881.876223
0,12,-8,566.8745709,1126.260448,713.1234291,1126.260448,529.096472,961.9775661,750.901528,961.9775661
0,16,-8,573.3112714,1209.446981,706.6867286,1209.446981,522.9369863,1041.581433,757.0610137,1041.581433
0,20,-8,579.7890971,1293.165004,700.2089029,1293.165004,516.8156362,1120.692443,763.1823638,1120.692443
0,24,-8,586.3084431,1377.419629,693.6895569,1377.419629,510.7320686,1199.31516,769.2659314,1199.31516
0,28,-8,592.8697101,1462.21603,687.1282899,1462.21603,504.6859349,1277.454091,775.3120651,1277.454091
0,32,-8,599.4733037,1547.559451,680.5246963,1547.559451,498.6768905,1355.113686,781.3211095,1355.113686
4,-32,-8,576.1110654,261.7933265,859.2469008,227.8759739,680.5561263,38.98848847,762.1489553,65.98645007
4,-28,-8,582.3385796,339.2590484,853.4592347,305.7303468,673.7145354,124.0928765,768.5112208,151.570205
4,-24,-8,588.6044095,417.2013911,847.6357316,384.0667917,666.916652,208.6535749,774.8325713,236.6035804
4,-20,-8,594.9089099,495.6247666,841.7760576,462.8897998,660.1620587,292.6757771,781.1134001,321.0918683
4,-16,-8,601.25244,574.5336421,835.8798746,542.2039185,653.4503432,376.1646105,787.3540958,405.0402932
4,-12,-8,607.6353632,653.9325399,829.9468403,622.013752,646.7810985,459.125138,793.5550417,488.4540131
4,-8,-8,614.0580477,733.8260388,823.9766083,702.3239621,640.1539227,541.5623581,799.7166164,571.3381204
4,-4,-8,620.5208662,814.2187747,817.9688274,783.1392695,633.5684192,623.4812069,805.8391936,653.6976431
4,0,-8,627.024196,895.1154418,811.9231425,864.4644542,627.024196,704.8865582,811.9231425,735.5375458
4,4,-8,633.5684192,976.5207931,805.8391936,946.3043569,620.5208662,785.7832253,817.9688274,816.8627305
4,8,-8,640.1539227,1058.439642,799.7166164,1028.66388,614.0580477,866.1759612,823.9766083,897.6780379
4,12,-8,646.7810985,1140.876862,793.5550417,1111.547987,607.6353632,946.0694601,829.9468403,977.988248
4,16,-8,653.4503432,1223.837389,787.3540958,1194.961707,601.25244,1025.468358,835.8798746,1057.798082
4,20,-8,660.1620587,1307.326223,781.1134001,1278.910132,594.9089099,1104.377233,841.7760576,1137.1122
4,24,-8,666.916652,1391.348425,774.8325713,1363.39842,588.6044095,1182.800609,847.6357316,1215.935208
4,28,-8,673.7145354,1475.909124,768.5112208,1448.431795,582.3385796,1260.742952,853.4592347,1294.271653
4,32,-8,680.5561263,1561.013512,762.1489553,1534.01555,576.1110654,1338.208674,859.2469008,1372.126026
8,-32,-8,653.0582618,278.5920247,937.6690049,210.7552817,761.1028821,25.62337738,844.3200919,79.62109442
8,-28,-8,659.5013787,355.8647708,932.1056683,288.8053408,754.0265745,110.4900237,850.4376477,165.4464947
8,-24,-8,665.9840125,433.6114462,926.5077733,367.340232,746.9953254,194.8162801,856.5157312,250.7181244
8,-20,-8,672.5065279,511.8364241,920.8749969,446.364487,740.0087058,278.6072915,862.5547233,335.4413259
8,-16,-8,679.069294,590.5441322,915.2070121,525.882694,733.0662922,361.8681378,868.5549998,419.6213731
8,-12,-8,685.6726847,669.7390526,909.5034876,605.8994988,726.1676663,444.6038349,874.5169319,503.2634724
8,-8,-8,692.3170782,749.4257233,903.7640883,686.4196056,719.3124151,526.8193356,880.440886,586.3727641
8,-4,-8,699.0028577,829.6087387,897.9884745,767.4477781,712.5001309,608.5195305,886.3272238,668.954323
8,0,-8,705.730411,910.2927507,892.1763024,848.9888402,705.730411,689.7092493,892.1763024,751.0131598
8,4,-8,712.5001309,991.4824695,886.3272238,931.047677,699.0028577,770.3932613,897.9884745,832.5542219
8,8,-8,719.3124151,1073.182664,880.440886,1013.629236,692.3170782,850.5762767,903.7640883,913.5823944
8,12,-8,726.1676663,1155.398165,874.5169319,1096.738528,685.6726847,930.2629474,909.5034876,994.1025012
8,16,-8,733.0662922,1238.133862,868.5549998,1180.380627,679.069294,1009.457868,915.2070121,1074.119306
8,20,-8,740.0087058,1321.394709,862.5547233,1264.560674,672.5065279,1088.165576,920.8749969,1153.637513
8,24,-8,746.9953254,1405.18572,856.5157312,1349.283876,665.9840125,1166.390554,926.5077733,1232.661768
8,28,-8,754.0265745,1489.511976,850.4376477,1434.555505,659.5013787,1244.137229,932.1056683,1311.196659
8,32,-8,761.1028821,1574.378623,844.3200919,1520.380906,653.0582618,1321.409975,937.6690049,1389.246718
12,-32,-8,729.5230589,295.2854082,1016.592179,193.5251987,841.1188697,12.34633659,927.0436207,93.34739713
12,-28,-8,736.1789527,372.366071,1011.256166,271.7718582,833.8110767,96.97652254,932.9130332,179.4157643
12,-24,-8,742.8755395,449.917994,1005.8869,350.5061337,826.549664,181.0695884,938.7444481,264.9269387
12,-20,-8,749.613194,527.9455122,1000.484069,429.7325973,819.3341912,264.6306313,944.5382332,349.8863135
