,u,v,j,i,X,Y,Z
48,364.2828,511.9787,2,0,1.0,0.0,2
49,430.00702,512.16205,2,2,1.0,1.0,2
50,494.06702,511.96582,2,4,1.0,2.0,2
51,556.7676,511.66776,2,6,1.0,3.0,2
52,681.1139,575.8407,0,10,0.0,5.0,2
53,618.4238,576.7305,0,8,0.0,4.0,2
55,493.16437,578.27716,0,4,0.0,2.0,2
56,555.88556,577.7587,0,6,0.0,3.0,2
57,157.12895,579.1349,0,-6,0.0,-3.0,2
58,429.2402,579.1968,0,2,0.0,1.0,2
59,228.04726,579.925,0,-4,0.0,-2.0,2
60,296.86136,579.88074,0,-2,0.0,-1.0,2
61,364.19464,579.946,0,0,0.0,0.0,2
62,680.51135,641.7928,-2,10,-1.0,5.0,2
63,616.7946,642.52814,-2,8,-1.0,4.0,2
64,554.8552,643.7559,-2,6,-1.0,3.0,2
65,492.103,644.8142,-2,4,-1.0,2.0,2
66,428.22162,645.9853,-2,2,-1.0,1.0,2
68,296.17557,647.28485,-2,-2,-1.0,-1.0,2
69,362.93747,646.97565,-2,0,-1.0,0.0,2
70,157.64209,647.57056,-2,-6,-1.0,-3.0,2
71,227.71605,647.79346,-2,-4,-1.0,-2.0,2
72,615.8215,707.92194,-4,8,-2.0,4.0,2
73,680.2041,707.7581,-4,10,-2.0,5.0,2
74,553.0473,709.0814,-4,6,-2.0,3.0,2
75,490.12323,710.3026,-4,4,-2.0,2.0,2
76,426.7737,712.1305,-4,2,-2.0,1.0,2
77,361.13177,713.25446,-4,0,-2.0,0.0,2
78,294.92923,714.21027,-4,-2,-2.0,-1.0,2
80,156.01935,715.1606,-4,-6,-2.0,-3.0,2
81,226.04489,714.93677,-4,-4,-2.0,-2.0,2
82,551.7178,774.80304,-6,6,-3.0,3.0,2
83,615.6119,774.56274,-6,8,-3.0,4.0,2
84,488.20187,776.14233,-6,4,-3.0,2.0,2
85,424.74432,777.95276,-6,2,-3.0,1.0,2
86,359.0884,779.1222,-6,0,-3.0,0.0,2
87,292.86844,780.8669,-6,-2,-3.0,-1.0,2
89,224.94102,781.62836,-6,-4,-3.0,-2.0,2
91,549.9283,840.2609,-8,6,-4.0,3.0,2
92,486.70267,841.9875,-8,4,-4.0,2.0,2
93,422.50427,842.8404,-8,2,-4.0,1.0,2
94,357.05334,844.7895,-8,0,-4.0,0.0,2
95,290.29868,846.49036,-8,-2,-4.0,-1.0,2
96,222.54567,847.95825,-8,-4,-4.0,-2.0,2
98,484.82587,909.73486,-10,4,-5.0,2.0,2
99,419.87112,910.68506,-10,2,-5.0,1.0,2
100,354.35297,912.02106,-10,0,-5.0,0.0,2
101,287.7865,914.0071,-10,-2,-5.0,-1.0,2
1,274.42017,156.82405,12,-2,6.0,-1.0,3
