,X,Y,Z,u,v
84,-3.846153846153846,5.0,5.0,1.0132576866462064,2.526482412887646
85,-3.4615384615384617,5.0,5.0,1.075931557957451,2.45974923572269
86,-3.0769230769230766,5.0,5.0,1.1384642889428527,2.3931663403605423
87,-2.692307692307692,5.0,5.0,1.2008563558340366,2.326733219724669
88,-2.3076923076923075,5.0,5.0,1.2631082327225198,2.2604493690172562
89,-1.923076923076923,5.0,5.0,1.325220391571718,2.194314285706426
90,-1.5384615384615383,5.0,5.0,1.3871933022288736,2.1283274695135366
91,-1.1538461538461537,5.0,5.0,1.4490274324369024,2.0624884224005657
92,-0.7692307692307692,5.0,5.0,1.510723247846162,1.9967966485575823
93,-0.38461538461538414,5.0,5.0,1.5722812120261407,1.9312516543903002
94,0.0,5.0,5.0,1.6337017864770669,1.8658529485077162
95,0.384615384615385,5.0,5.0,1.6949854306414442,1.800600041709828
96,0.7692307692307692,5.0,5.0,1.7561326019155046,1.7354924469754396
97,1.1538461538461542,5.0,5.0,1.8171437556605907,1.6705296794500408
98,1.5384615384615392,5.0,5.0,1.878019345214456,1.6057112564337754
99,1.9230769230769234,5.0,5.0,1.9387598219024982,1.5410366973694827
100,2.3076923076923084,5.0,5.0,1.9993656350489073,1.4765055238308233
101,2.6923076923076925,5.0,5.0,2.0598372319877494,1.4121172595104814
102,3.0769230769230766,5.0,5.0,2.12017505807397,1.3478714302084447
103,3.4615384615384617,5.0,5.0,2.180379556694329,1.2837675638203654
104,3.8461538461538467,5.0,5.0,2.240451169278259,1.219805190325994
105,4.230769230769232,5.0,5.0,2.3003903353086574,1.1559838417776938
106,4.615384615384617,5.0,5.0,2.3601974923326017,1.0923030522890267
107,5.0,5.0,5.0,2.419873075971996,1.0287623580234195
108,5.0,-5.0,5.0,1.782974032225893,-0.2863375079119791
109,5.0,-4.615384615384615,5.0,1.8144859637557007,-0.22127015173184322
110,5.0,-4.230769230769231,5.0,1.8452840587471906,-0.1576767596674642
111,5.0,-3.846153846153846,5.0,1.875392301244656,-0.09550780830733019
112,5.0,-3.4615384615384617,5.0,1.904833612745976,-0.03471596823701771
113,5.0,-3.0769230769230766,5.0,1.933629910399509,0.024744016128564528
114,5.0,-2.692307692307692,5.0,1.9618021614174206,0.08291543890043333
115,5.0,-2.3076923076923075,5.0,1.9893704339893425,0.13983973784451909
116,5.0,-1.923076923076923,5.0,2.016353944956189,0.19555659282085028
117,5.0,-1.5384615384615383,5.0,2.0427711044821164,0.2501040180243816
118,5.0,-1.1538461538461537,5.0,2.068639557942871,0.3035184484780668
119,5.0,-0.7692307692307692,5.0,2.093976225230795,0.3558348211917331
120,5.0,-0.38461538461538414,5.0,2.1187973376604794,0.407086651366654
121,5.0,0.0,5.0,2.143118472644216,0.4573061039950992
122,5.0,0.384615384615385,5.0,2.166954586292925,0.5065240611762915
123,5.0,0.7692307692307692,5.0,2.190320044085906,0.5547701854447994
124,5.0,1.1538461538461542,5.0,2.213228649741592,0.6020729793842574
125,5.0,1.5384615384615392,5.0,2.2356936724112115,0.6484598417781499
126,5.0,1.9230769230769234,5.0,2.257727872307933,0.6939571205301083
127,5.0,2.3076923076923084,5.0,2.2793435248755065,0.7385901625684851
128,5.0,2.6923076923076925,5.0,2.300552443592585,0.7823833609338197
129,5.0,3.0769230769230766,5.0,2.321366001501748,0.8253601992329992
130,5.0,3.4615384615384617,5.0,2.3417951515456514,0.8675432936303299
131,5.0,3.8461538461538467,5.0,2.361850445786724,0.9089544325332857
132,5.0,4.230769230769232,5.0,2.3815420535812573,0.9496146141192496
133,5.0,4.615384615384617,5.0,2.4008797787736667,0.9895440818390516
134,5.0,5.0,5.0,2.419873075971996,1.0287623580234195
135,5.0,5.0,-5.0,0.9492454717569438,-0.01703601509142868
136,5.0,5.0,-4.615384615384615,0.9955172655774893,0.015868961368917883
137,5.0,5.0,-4.230769230769231,1.0424674791468242,0.049256378297224915
138,5.0,5.0,-3.846153846153846,1.09011114275443,0.08313692409090988
139,5.0,5.0,-3.4615384615384617,1.1384637339848351,0.11752160522956909
140,5.0,5.0,-3.0769230769230766,1.1875411944814764,0.15242175819615936
141,5.0,5.0,-2.692307692307692,1.2373599474701895,0.18784906193837025
142,5.0,5.0,-2.3076923076923075,1.2879369160827965,0.22381555089896402
143,5.0,5.0,-1.923076923076923,1.339289542523735,0.2603336286456228
144,5.0,5.0,-1.5384615384615383,1.3914358081253282,0.2974160821327305
145,5.0,5.0,-1.1538461538461537,1.4443942543401458,0.33507609662953947
146,5.0,5.0,-0.7692307692307692,1.4981840047219264,0.37332727135133126
147,5.0,5.0,-0.38461538461538414,1.5528247879498196,0.41218363583250245
148,5.0,5.0,0.0,1.6083369619541679,0.4516596670829851
149,5.0,5.0,0.384615384615385,1.664741539205818,0.4917703075720783
150,5.0,5.0,0.7692307692307692,1.7220602132349487,0.5325309840866199
151,5.0,5.0,1.1538461538461542,1.7803153864497334,0.5739576275135013
152,5.0,5.0,1.5384615384615392,1.8395301993297763,0.616066693599815
153,5.0,5.0,1.9230769230769234,1.899728561074239,0.6588751847474711
154,5.0,5.0,2.3076923076923084,1.9609351817899459,0.7024006729029235
155,5.0,5.0,2.6923076923076925,2.023175606310492,0.7466613236067476
156,5.0,5.0,3.0769230769230766,2.086476249743603,0.7916759212722151
157,5.0,5.0,3.4615384615384617,2.1508644348506705,0.8374638957667713
158,5.0,5.0,3.8461538461538467,2.216368431369581,0.8840453503754391
159,5.0,5.0,4.230769230769232,2.2830174973997464,0.9314410912307007
160,5.0,5.0,4.615384615384617,2.3508419229766133,0.9796726582993713
161,5.0,5.0,5.0,2.419873075971996,1.0287623580234195
162,-5.0,5.0,-5.0,-0.37437929048179674,1.3302138809812312
163,-4.615384615384615,5.0,-5.0,-0.32230768868759885,1.2772128627871364
164,-4.230769230769231,5.0,-5.0,-0.2703311619124373,1.2243086165885273
165,-3.846153846153846,5.0,-5.0,-0.21844945000449356,1.1715008775901832
166,-3.4615384615384617,5.0,-5.0,-0.16666229376021519,1.1187893819620751
167,-3.0769230769230766,5.0,-5.0,-0.11496943491999849,1.0661738668349723
168,-2.692307692307692,5.0,-5.0,-0.0633706161638964,1.0136540702960704
169,-2.3076923076923075,5.0,-5.0,-0.011865581107347796,0.9612297313846487
170,-1.923076923076923,5.0,-5.0,0.03954592570306825,0.9089005900877447
171,-1.5384615384615383,5.0,-5.0,0.09086415879385606,0.8566663873358578
172,-1.1538461538461537,5.0,-5.0,0.14208937176880362,0.8045268649986729
173,-0.7692307692307692,5.0,-5.0,0.19322181731316035,0.7524817658808082
174,-0.38461538461538414,5.0,-5.0,0.2442617471977915,0.7005308337175865
175,0.0,5.0,-5.0,0.29520941228331077,0.6486738131708296
176,0.384615384615385,5.0,-5.0,0.3460650625241906,0.596910449824674
177,0.7692307692307692,5.0,-5.0,0.39682894697284876,0.5452404901814109
178,1.1538461538461542,5.0,-5.0,0.4475013137837156,0.49366368165734775
179,1.5384615384615392,5.0,-5.0,0.498082410217276,0.44217977257869306
180,1.9230769230769234,5.0,-5.0,0.5485724826440916,0.3907885121774619
181,2.3076923076923084,5.0,-5.0,0.5989717765488023,0.33948965058740527
182,2.6923076923076925,5.0,-5.0,0.6492805365341024,0.28828293883996
183,3.0769230769230766,5.0,-5.0,0.6994990063246996,0.23716812886022115
184,3.4615384615384617,5.0,-5.0,0.7496274287712505,0.1861449734629359
185,3.8461538461538467,5.0,-5.0,0.7996660458542739,0.13521322634851954
186,4.230769230769232,5.0,-5.0,0.8496150986880464,0.08437264209909154
187,4.615384615384617,5.0,-5.0,0.8994748275244739,0.033622976174533976
188,5.0,5.0,-5.0,0.9492454717569438,-0.01703601509142868
189,5.0,-5.0,-5.0,0.11909239277495293,-1.27009414809635
190,5.0,-4.615384615384615,-5.0,0.15806902143536403,-1.2112616474689561
191,5.0,-4.230769230769231,-5.0,0.19636341040162472,-1.1534589400436335
192,5.0,-3.846153846153846,-5.0,0.23399331695961537,-1.0966592224366976
193,5.0,-3.4615384615384617,-5.0,0.2709758874486211,-1.0408366134457097
194,5.0,-3.0769230769230766,-5.0,0.3073276833120914,-0.9859661147276721
195,5.0,-2.692307692307692,-5.0,0.3430647058267047,-0.9320235734722325
196,5.0,-2.3076923076923075,-5.0,0.37820241958731693,-0.8789856469527921
197,5.0,-1.923076923076923,-5.0,0.41275577482020875,-0.8268297688462165
198,5.0,-1.5384615384615383,-5.0,0.4467392285922708,-0.7755341172190511
199,5.0,-1.1538461538461537,-5.0,0.4801667649793386,-0.7250775840848263
200,5.0,-0.7692307692307692,-5.0,0.5130519142527897,-0.6754397464432309
201,5.0,-0.38461538461538414,-5.0,0.5454077711397028,-0.6266008387176721
202,5.0,0.0,-5.0,0.5772470122083573,-0.5785417265130819
203,5.0,0.384615384615385,-5.0,0.6085819124275591,-0.5312438816207661
204,5.0,0.7692307692307692,-5.0,0.6394243609452419,-0.48468935820171066
205,5.0,1.1538461538461542,-5.0,0.6697858761289487,-0.43886077008402263
