,u,v,j,i,X,Y,Z
146,680.6463,919.3013,-12,6,-6.0,3.0,8
147,334.1098,919.73145,-12,-4,-6.0,-2.0,8
148,750.7622,921.3501,-12,8,-6.0,4.0,8
0,337.85736,90.05824,12,-4,6.0,-2.0,9
1,407.75345,92.69077,12,-2,6.0,-1.0,9
2,682.1012,92.83857,12,6,6.0,3.0,9
3,476.15463,93.76762,12,0,6.0,0.0,9
4,544.85974,93.945755,12,2,6.0,1.0,9
5,613.14154,94.0108,12,4,6.0,2.0,9
6,269.81412,161.24535,10,-6,5.0,-3.0,9
7,339.8274,162.24184,10,-4,5.0,-2.0,9
8,407.86023,162.90602,10,-2,5.0,-1.0,9
9,749.5974,163.07504,10,8,5.0,4.0,9
10,475.9544,163.98007,10,0,5.0,0.0,9
11,543.9509,163.89822,10,2,5.0,1.0,9
12,612.2258,163.99991,10,4,5.0,2.0,9
13,680.80804,163.92229,10,6,5.0,3.0,9
14,128.03381,225.79175,8,-10,4.0,-5.0,9
15,201.20505,228.47374,8,-8,4.0,-4.0,9
16,271.21237,230.29768,8,-6,4.0,-3.0,9
17,889.22217,229.62119,8,12,4.0,6.0,9
18,339.9558,231.23,8,-4,4.0,-2.0,9
19,408.02716,231.33752,8,-2,4.0,-1.0,9
20,476.06335,231.21495,8,0,4.0,0.0,9
21,818.24084,231.29391,8,10,4.0,5.0,9
22,544.0328,231.91153,8,2,4.0,1.0,9
23,612.15216,231.95348,8,4,4.0,2.0,9
24,679.9928,232.14369,8,6,4.0,3.0,9
25,748.63434,232.19621,8,8,4.0,4.0,9
26,129.96019,296.18423,6,-10,3.0,-5.0,9
27,202.31267,298.46252,6,-8,3.0,-4.0,9
28,271.99664,299.01254,6,-6,3.0,-3.0,9
29,339.9753,299.09668,6,-4,3.0,-2.0,9
30,407.8559,298.93808,6,-2,3.0,-1.0,9
31,475.7865,298.86325,6,0,3.0,0.0,9
32,543.92065,298.87112,6,2,3.0,1.0,9
33,612.13214,299.0996,6,4,3.0,2.0,9
34,680.0125,299.749,6,6,3.0,3.0,9
35,747.7861,299.9474,6,8,3.0,4.0,9
36,887.1605,299.7497,6,12,3.0,6.0,9
37,57.140057,363.83215,4,-12,2.0,-6.0,9
38,131.01617,365.74042,4,-10,2.0,-5.0,9
39,201.76569,366.34113,4,-8,2.0,-4.0,9
40,339.10333,366.36346,4,-4,2.0,-2.0,9
